gisjoin,name_dp,var_code,dp,name_sf,sf
G56051285,Meadow Acres CDP,H7X001,152,Meadow Acres CDP,198
G56051575,Medicine Bow town,H7X001,222,Medicine Bow town,284
G56051720,Meeteetse town,H7X001,310,Meeteetse town,327
G56052445,Midwest town,H7X001,314,Midwest town,404
G56053460,Mills town,H7X001,3490,Mills town,3461
G56054185,Moorcroft town,H7X001,1053,Moorcroft town,1009
G56054402,Moose Wilson Road CDP,H7X001,1829,Moose Wilson Road CDP,1821
G56055200,Mountain View CDP,H7X001,140,Mountain View CDP,96
G56055345,Mountain View town,H7X001,1284,Mountain View town,1286
G56056215,Newcastle city,H7X001,3436,Newcastle city,3532
G56056520,Nordic CDP,H7X001,564,Nordic CDP,602
G56056700,North Rock Springs CDP,H7X001,2216,North Rock Springs CDP,2207
G56057375,Oakley CDP,H7X001,67,Oakley CDP,49
G56057810,Opal town,H7X001,132,Opal town,96
G56058100,Orin CDP,H7X001,50,Orin CDP,46
G56058680,Osage CDP,H7X001,193,Osage CDP,208
G56058970,Osmond CDP,H7X001,371,Osmond CDP,397
G56059332,Owl Creek CDP,H7X001,5,Owl Creek CDP,5
G56059985,Parkman CDP,H7X001,136,Parkman CDP,151
G56060130,Pavillion town,H7X001,192,Pavillion town,231
G56061435,Pine Bluffs town,H7X001,1029,Pine Bluffs town,1129
G56061580,Pinedale town,H7X001,1869,Pinedale town,2030
G56061610,Pine Haven town,H7X001,430,Pine Haven town,490
G56062305,Powder River CDP,H7X001,49,Powder River CDP,44
G56062450,Powell city,H7X001,6321,Powell city,6314
G56062812,Purple Sage CDP,H7X001,553,Purple Sage CDP,535
G56063100,Rafter J Ranch CDP,H7X001,1099,Rafter J Ranch CDP,1075
G56063465,Ralston CDP,H7X001,235,Ralston CDP,280
G56063755,Ranchester town,H7X001,755,Ranchester town,855
G56063800,Ranchettes CDP,H7X001,6035,Ranchettes CDP,5798
G56063900,Rawlins city,H7X001,9195,Rawlins city,9259
G56064400,Red Butte CDP,H7X001,595,Red Butte CDP,449
G56065060,Reliance CDP,H7X001,799,Reliance CDP,714
G56066075,Riverside town,H7X001,40,Riverside town,52
G56066220,Riverton city,H7X001,10248,Riverton city,10615
G56066655,Robertson CDP,H7X001,108,Robertson CDP,97
G56067090,Rock River town,H7X001,142,Rock River town,245
G56067235,Rock Springs city,H7X001,22694,Rock Springs city,23036
G56067440,Rolling Hills town,H7X001,324,Rolling Hills town,440
G56067670,Ryan Park CDP,H7X001,53,Ryan Park CDP,38
G56068685,Saratoga town,H7X001,1570,Saratoga town,1690
G56069700,Shell CDP,H7X001,69,Shell CDP,83
G56069845,Sheridan city,H7X001,17282,Sheridan city,17444
G56070570,Shoshoni town,H7X001,592,Shoshoni town,649
G56071150,Sinclair town,H7X001,361,Sinclair town,433
G56071295,Slater CDP,H7X001,105,Slater CDP,80
G56071350,Sleepy Hollow CDP,H7X001,1254,Sleepy Hollow CDP,1308
G56071440,Smoot CDP,H7X001,167,Smoot CDP,195
G56071800,South Greeley CDP,H7X001,4142,South Greeley CDP,4217
G56071947,South Park CDP,H7X001,1766,South Park CDP,1731
G56073180,Star Valley Ranch town,H7X001,1520,Star Valley Ranch town,1503
G56073615,Story CDP,H7X001,829,Story CDP,828
G56074195,Sundance town,H7X001,1232,Sundance town,1182
G56074775,Superior town,H7X001,319,Superior town,336
G56075355,Table Rock CDP,H7X001,0,Table Rock CDP,0
G56075572,Taylor CDP,H7X001,50,Taylor CDP,90
G56075790,Ten Sleep town,H7X001,211,Ten Sleep town,260
G56075935,Teton Village CDP,H7X001,334,Teton Village CDP,330
G56076370,Thayne town,H7X001,336,Thayne town,366
G56076515,Thermopolis town,H7X001,3110,Thermopolis town,3009
G56077530,Torrington city,H7X001,6282,Torrington city,6501
G56078400,Turnerville CDP,H7X001,199,Turnerville CDP,192
G56079125,Upton town,H7X001,986,Upton town,1100
G56079270,Urie CDP,H7X001,238,Urie CDP,262
G56079705,Van Tassell town,H7X001,18,Van Tassell town,15
G56080285,Veteran CDP,H7X001,52,Veteran CDP,23
G56080575,Vista West CDP,H7X001,958,Vista West CDP,951
G56081300,Wamsutter town,H7X001,292,Wamsutter town,451
G56081640,Warren AFB CDP,H7X001,3160,Warren AFB CDP,3072
G56081703,Washam CDP,H7X001,68,Washam CDP,51
G56082967,Westview Circle CDP,H7X001,30,Westview Circle CDP,52
G56083040,Wheatland town,H7X001,3656,Wheatland town,3627
G56083100,Whiting CDP,H7X001,152,Whiting CDP,83
G56083765,Wilson CDP,H7X001,1481,Wilson CDP,1482
G56084852,Woods Landing-Jelm CDP,H7X001,69,Woods Landing-Jelm CDP,97
G56084925,Worland city,H7X001,5360,Worland city,5487
G56085015,Wright town,H7X001,1579,Wright town,1807
G56086665,Yoder town,H7X001,122,Yoder town,151
G56086737,Y-O Ranch CDP,H7X001,115,Y-O Ranch CDP,195
G56000245,Afton town,H7X002,1825,Afton town,1799
G56000680,Albany CDP,H7X002,43,Albany CDP,53
G56000825,Albin town,H7X002,84,Albin town,170
G56001115,Alcova CDP,H7X002,56,Alcova CDP,69
G56001695,Alpine town,H7X002,723,Alpine town,788
G56001888,Alpine Northeast CDP,H7X002,188,Alpine Northeast CDP,192
G56001936,Alpine Northwest CDP,H7X002,147,Alpine Northwest CDP,236
